datetime,Temperature-Internal,Humidity,Pressure
2018-06-20 00:00:02.758756,77.13020401000976,55.6654052734375,1009.066650390625
2018-06-20 00:05:02.849352,77.16319732666015,55.75806427001953,1008.923095703125
2018-06-20 00:10:01.950939,77.39413681030273,55.746482849121094,1008.84033203125
2018-06-20 00:15:02.031632,77.49310989379883,52.96393585205078,1008.800048828125
2018-06-20 00:20:02.169787,77.32815017700194,55.8101806640625,1008.647216796875
2018-06-20 00:25:02.180220,77.39413681030273,55.882568359375,1008.61865234375
2018-06-20 00:30:02.252277,77.59208297729492,55.5322151184082,1008.61962890625
2018-06-20 00:35:02.327704,76.96525115966797,56.23291778564453,1008.616943359375
2018-06-20 00:40:02.346906,76.99824104309083,55.983909606933594,1008.60205078125
2018-06-20 00:45:02.430265,77.2951602935791,55.88546371459961,1008.52294921875
2018-06-20 00:50:02.505723,77.03123092651367,56.30241394042969,1008.54248046875
2018-06-20 00:55:02.543256,77.06422424316406,55.865196228027344,1008.467041015625
2018-06-20 01:00:02.618900,77.2951602935791,55.931793212890625,1008.39599609375
2018-06-20 01:05:02.662687,77.36114349365234,55.84492492675781,1008.392333984375
2018-06-20 01:10:02.718788,77.62507286071776,55.75227355957031,1008.35595703125
2018-06-20 01:15:02.793802,77.72404594421387,55.1181640625,1008.342529296875
2018-06-20 01:20:01.892637,76.27243270874023,56.65855407714844,1008.33154296875
2018-06-20 01:25:01.900898,76.14046974182129,57.08708190917969,1008.325439453125
2018-06-20 01:30:01.984086,75.71158409118652,57.121829986572266,1008.318603515625
2018-06-20 01:35:02.010345,76.27243270874023,57.084190368652344,1008.30078125
2018-06-20 01:40:02.058646,75.87654037475586,57.20869445800781,1008.167236328125
2018-06-20 01:45:02.084684,75.94252014160156,57.506927490234375,1008.234130859375
2018-06-20 01:50:02.114759,76.07448654174804,56.887298583984375,1008.130859375
2018-06-20 01:55:02.134618,76.10747985839843,56.974159240722656,1008.076416015625
2018-06-20 02:00:02.177849,76.04149322509765,57.055233001708984,1008.03515625
2018-06-20 02:05:02.218422,76.70131835937501,56.66144943237305,1008.003173828125
2018-06-20 02:10:02.249251,76.83328475952148,56.366111755371094,1008.00732421875
2018-06-20 02:15:02.324111,77.26217041015626,56.31109619140625,1008.09375
2018-06-20 02:20:02.421857,76.93225784301758,57.66907501220703,1008.052734375
2018-06-20 02:25:02.464517,77.72404594421387,56.117103576660156,1008.042724609375
2018-06-20 02:30:02.508166,77.59208297729492,54.634620666503906,1007.943359375
2018-06-20 02:35:02.590515,78.11994171142578,55.18186569213867,1007.99267578125
2018-06-20 02:40:02.626614,78.15293159484862,55.3555908203125,1007.917724609375
2018-06-20 02:45:02.708727,78.02096862792969,56.128684997558594,1007.983154296875
2018-06-20 02:50:02.757016,78.38387107849121,55.092105865478516,1007.888916015625
2018-06-20 02:55:02.778260,78.18592147827148,55.06604766845703,1007.92041015625
2018-06-20 03:00:02.796149,78.54882736206055,54.863365173339844,1007.9287109375
2018-06-20 03:05:02.805515,78.11994171142578,55.37296676635742,1007.8759765625
2018-06-20 03:10:02.889745,77.8890022277832,55.22529602050781,1007.977294921875
2018-06-20 03:15:01.984787,77.9879753112793,51.4727668762207,1007.902099609375
2018-06-20 03:20:02.101199,78.35088119506837,55.20213317871094,1007.962158203125
2018-06-20 03:25:02.091519,78.21891479492187,54.877838134765625,1007.94140625
2018-06-20 03:30:02.082689,77.8890022277832,55.451141357421875,1007.927734375
2018-06-20 03:35:02.152711,77.8890022277832,55.43376922607422,1007.875244140625
2018-06-20 03:40:02.187171,77.22917709350587,55.80149459838867,1007.916748046875
2018-06-20 03:45:02.203825,78.21891479492187,55.45404052734375,1007.92431640625
2018-06-20 03:50:02.273783,78.11994171142578,55.17607498168945,1007.90966796875
2018-06-20 03:55:02.318718,77.55908966064453,55.760955810546875,1007.87255859375
2018-06-20 04:00:02.407246,77.19618721008301,57.00890350341797,1007.880126953125
2018-06-20 04:05:02.446170,77.36114349365234,56.169219970703125,1007.926513671875
2018-06-20 04:10:02.459902,77.13020401000976,56.690406799316406,1007.939697265625
2018-06-20 04:15:02.474192,77.03123092651367,55.65382385253906,1007.83642578125
2018-06-20 04:20:02.570911,77.16319732666015,56.018653869628906,1007.919921875
2018-06-20 04:25:02.601361,77.0972141265869,55.76675033569336,1007.8681640625
2018-06-20 04:30:02.583624,77.22917709350587,55.56696319580078,1007.88525390625
2018-06-20 04:35:02.605686,77.26217041015626,55.51194763183594,1007.91650390625
2018-06-20 04:40:02.683017,77.39413681030273,57.440330505371094,1007.7958984375
2018-06-20 04:45:02.763926,77.82302246093751,55.18186569213867,1007.739990234375
2018-06-20 04:50:02.810425,76.99824104309083,56.30530548095703,1007.832275390625
2018-06-20 04:55:01.875563,76.5363655090332,56.673030853271484,1007.8212890625
2018-06-20 05:00:01.916697,77.62507286071776,54.909690856933594,1007.84375
2018-06-20 05:05:01.955044,78.38387107849121,54.85177993774414,1007.820556640625
2018-06-20 05:10:02.036110,78.25190811157226,54.80545425415039,1007.860107421875
2018-06-20 05:15:02.077287,77.2951602935791,55.65382385253906,1007.930908203125
2018-06-20 05:20:02.231148,77.55908966064453,55.329532623291016,1007.9345703125
2018-06-20 05:25:02.315112,77.95498542785644,54.95891571044922,1007.87060546875
2018-06-20 05:30:02.412160,78.05395851135255,54.93574905395508,1007.876708984375
2018-06-20 05:35:02.463824,77.62507286071776,55.24266815185547,1007.967529296875
2018-06-20 05:40:02.505756,77.06422424316406,55.972328186035156,1008.02880859375
2018-06-20 05:45:02.551631,76.86627464294433,56.056297302246094,1007.99755859375
2018-06-20 05:50:02.594085,76.56935539245605,56.53694534301758,1007.9677734375
2018-06-20 05:55:02.639267,76.43739242553711,56.5745849609375,1008.052001953125
2018-06-20 06:00:02.663490,76.50337219238281,56.08525085449219,1008.026611328125
2018-06-20 06:05:02.738850,76.56935539245605,56.82649230957031,1008.08056640625
2018-06-20 06:10:02.826623,76.96525115966797,56.366111755371094,1008.04052734375
2018-06-20 06:15:01.845671,77.13020401000976,56.01286315917969,1008.132080078125
2018-06-20 06:20:01.996129,77.32815017700194,55.06604766845703,1008.228759765625
2018-06-20 06:25:02.090510,76.89926452636719,56.15474319458008,1008.16064453125
2018-06-20 06:30:02.143558,76.76730155944824,56.01286315917969,1008.135986328125
2018-06-20 06:35:02.195196,77.79002914428712,55.746482849121094,1008.132568359375
2018-06-20 06:40:02.234108,77.95498542785644,55.27452087402344,1008.19189453125
2018-06-20 06:45:02.251533,77.65806274414062,54.81703567504883,1008.2998046875
2018-06-20 06:50:02.261349,77.8890022277832,55.6769905090332,1008.354736328125
2018-06-20 06:55:02.261914,77.79002914428712,54.42035675048828,1008.426025390625
2018-06-20 07:00:02.249731,77.62507286071776,55.283206939697266,1008.517822265625
2018-06-20 07:05:02.269521,77.55908966064453,53.328765869140625,1008.520263671875
2018-06-20 07:10:02.293279,77.62507286071776,55.73200225830078,1008.577880859375
2018-06-20 07:15:02.359943,77.46011657714844,55.27741622924805,1008.556396484375
2018-06-20 07:20:02.498850,77.8890022277832,55.352699279785156,1008.5947265625
2018-06-20 07:25:02.624896,77.55908966064453,55.23687744140625,1008.58251953125
2018-06-20 07:30:02.650663,77.03123092651367,55.147117614746094,1008.65185546875
2018-06-20 07:35:02.671051,76.83328475952148,55.760955810546875,1008.760986328125
2018-06-20 07:40:02.751484,76.37140579223633,55.38744354248047,1008.840087890625
2018-06-20 07:45:02.759922,76.99824104309083,55.69436264038086,1008.909912109375
2018-06-20 07:50:02.783424,76.93225784301758,55.17028045654297,1008.953125
2018-06-20 07:55:02.809814,76.80029144287109,54.524593353271484,1009.001708984375
2018-06-20 08:00:02.893812,76.93225784301758,55.05156707763672,1009.019287109375
2018-06-20 08:05:01.981916,76.93225784301758,55.69146728515625,1009.14697265625
2018-06-20 08:10:02.012449,76.83328475952148,55.60749816894531,1009.25830078125
2018-06-20 08:15:01.991899,76.5363655090332,55.6046028137207,1009.198486328125
2018-06-20 08:20:02.119288,76.70131835937501,55.62487030029297,1009.234619140625
2018-06-20 08:25:02.209724,76.93225784301758,55.23398208618164,1009.355712890625
2018-06-20 08:30:02.283768,76.56935539245605,57.5156135559082,1009.4384765625
2018-06-20 08:35:02.363614,76.50337219238281,55.65093231201172,1009.46044921875
2018-06-20 08:40:02.406810,76.10747985839843,55.62197494506836,1009.4658203125
2018-06-20 08:45:02.514716,75.97551345825195,56.14895248413086,1009.443359375
